통계청 한국표준산업분류 10차(소분류),회생기업1,회생기업2
  1차 비철금속 제조업,1.0,1.0
  1차 철강 제조업,14.0,10.0
  가구 제조업,3.0,1.0
  가전제품 및 정보통신장비 소매업,0.0,0.0
  가정용 기기 제조업,2.0,1.0
"  가죽, 가방 및 유사제품 제조업",0.0,0.0
  건물 건설업,9.0,6.0
  건물설비 설치 공사업,0.0,0.0
"  건축기술, 엔지니어링 및 관련 기술 서비스업",3.0,1.0
"  건축자재, 철물 및 난방장치 도매업",0.0,0.0
  고무제품 제조업,2.0,2.0
"  곡물가공품, 전분 및 전분제품 제조업",1.0,1.0
"  골판지, 종이 상자 및 종이 용기 제조업",6.0,4.0
  광고업,0.0,0.0
  교육지원 서비스업,0.0,0.0
"  구조용 금속제품, 탱크 및 증기발생기 제조업",5.0,4.0
  귀금속 및 장신용품 제조업,0.0,0.0
  그 외 기타 운송장비 제조업,1.0,0.0
"  그 외 기타 전문, 과학 및 기술 서비스업",0.0,0.0
  그 외 기타 제품 제조업,1.0,0.0
  금속 주조업,1.0,1.0
  기계장비 및 관련 물품 도매업,10.0,8.0
  기록매체 복제업,0.0,0.0
  기반조성 및 시설물 축조관련 전문공사업,1.0,1.0
  기초 의약물질 및 생물학적 제제 제조업,2.0,0.0
  기초 화학물질 제조업,5.0,5.0
  기타 과학기술 서비스업,1.0,0.0
  기타 금속 가공제품 제조업,5.0,2.0
  기타 금융업,3.0,3.0
  기타 비금속 광물제품 제조업,1.0,1.0
  기타 비금속광물 광업,0.0,0.0
  기타 사업지원 서비스업,0.0,0.0
  기타 상품 전문 소매업,0.0,0.0
  기타 식품 제조업,1.0,1.0
  기타 운송관련 서비스업,0.0,0.0
  기타 전기장비 제조업,0.0,0.0
  기타 전문 도매업,7.0,5.0
  기타 정보 서비스업,1.0,0.0
  기타 종이 및 판지 제품 제조업,2.0,1.0
  기타 화학제품 제조업,9.0,4.0
  나무제품 제조업,2.0,1.0
  낙농제품 및 식용빙과류 제조업,0.0,0.0
"  내화, 비내화 요업제품 제조업",2.0,1.0
  도로 화물 운송업,1.0,1.0
"  도축, 육류 가공 및 저장 처리업",2.0,1.0
  동물용 사료 및 조제식품 제조업,3.0,2.0
  무기 및 총포탄 제조업,1.0,1.0
  무점포 소매업,1.0,1.0
  반도체 제조업,13.0,7.0
  방적 및 가공사 제조업,0.0,0.0
  봉제의복 제조업,4.0,2.0
  부동산 임대 및 공급업,0.0,0.0
"  비료, 농약 및 살균, 살충제 제조업",1.0,1.0
  사업시설 유지·관리 서비스업,1.0,1.0
  사진장비 및 광학기기 제조업,2.0,1.0
  산업용 기계 및 장비 임대업,0.0,0.0
  산업용 농·축산물 및 동·식물 도매업,0.0,0.0
  상품 종합 도매업,2.0,0.0
  상품 중개업,5.0,3.0
  생활용품 도매업,6.0,5.0
"  서적, 잡지 및 기타 인쇄물 출판업",1.0,0.0
  석유 정제품 제조업,2.0,2.0
  석탄 광업,1.0,1.0
  선박 및 보트 건조업,1.0,1.0
"  섬유, 의복, 신발 및 가죽제품 소매업",0.0,0.0
"  섬유제품 염색, 정리 및 마무리 가공업",1.0,1.0
  소프트웨어 개발 및 공급업,19.0,11.0
  수산물 가공 및 저장 처리업,1.0,1.0
  스포츠 서비스업,1.0,0.0
"  시멘트, 석회, 플라스터 및 그 제품 제조업",3.0,2.0
  실내건축 및 건축마무리 공사업,1.0,1.0
  악기 제조업,1.0,1.0
  알코올음료 제조업,2.0,1.0
  어로 어업,1.0,1.0
  여행사 및 기타 여행보조 서비스업,0.0,0.0
  연료 소매업,0.0,0.0
  연료용 가스 제조 및 배관공급업,1.0,1.0
  영상 및 음향기기 제조업,4.0,4.0
"  영화, 비디오물, 방송프로그램 제작 및 배급업",7.0,3.0
  오디오물 출판 및 원판 녹음업,0.0,0.0
  운송장비 임대업,1.0,0.0
  유리 및 유리제품 제조업,0.0,0.0
  유원지 및 기타 오락관련 서비스업,0.0,0.0
  육상 여객 운송업,2.0,2.0
  음ㆍ식료품 및 담배 도매업,3.0,2.0
  음ㆍ식료품 및 담배 소매업,0.0,0.0
  의료용 기기 제조업,3.0,2.0
  의료용품 및 기타 의약 관련제품 제조업,1.0,1.0
  의약품 제조업,9.0,6.0
  인쇄 및 인쇄관련 산업,0.0,0.0
  일반 교습 학원,1.0,0.0
  일반 목적용 기계 제조업,8.0,5.0
  일반 및 생활 숙박시설 운영업,0.0,0.0
  일차전지 및 축전지 제조업,2.0,0.0
  자동차 신품 부품 제조업,14.0,5.0
  자동차 판매업,0.0,0.0
  자동차용 엔진 및 자동차 제조업,0.0,0.0
"  자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",3.0,1.0
  자연과학 및 공학 연구개발업,0.0,0.0
  전구 및 조명장치 제조업,1.0,0.0
  전기 및 통신 공사업,1.0,0.0
  전기 통신업,3.0,3.0
  전기업,1.0,0.0
"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",6.0,5.0
  전문 디자인업,0.0,0.0
  전자부품 제조업,22.0,14.0
  절연선 및 케이블 제조업,2.0,0.0
  제재 및 목재 가공업,1.0,1.0
  종합 소매업,1.0,1.0
"  증기, 냉·온수 및 공기조절 공급업",1.0,1.0
  직물직조 및 직물제품 제조업,1.0,0.0
  창작 및 예술관련 서비스업,1.0,0.0
  철도장비 제조업,0.0,0.0
  초등 교육기관,0.0,0.0
"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",3.0,3.0
  컴퓨터 및 주변장치 제조업,0.0,0.0
"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",8.0,5.0
  텔레비전 방송업,1.0,0.0
  토목 건설업,3.0,2.0
  통신 및 방송 장비 제조업,23.0,13.0
  특수 목적용 기계 제조업,28.0,15.0
"  펄프, 종이 및 판지 제조업",8.0,4.0
  편조원단 제조업,0.0,0.0
  폐기물 처리업,0.0,0.0
  플라스틱제품 제조업,6.0,4.0
  합성고무 및 플라스틱 물질 제조업,2.0,2.0
  항공 여객 운송업,0.0,0.0
"  항공기, 우주선 및 부품 제조업",3.0,2.0
  해상 운송업,1.0,1.0
"  해체, 선별 및 원료 재생업",0.0,0.0
  화학섬유 제조업,0.0,0.0
  환경 정화 및 복원업,0.0,0.0
  회사 본부 및 경영 컨설팅 서비스업,9.0,7.0
