회사명,거래소코드,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)CMG제약,58820,0,0,0,1,0,0,1,0,0
(주)DB하이텍,990,0,0,0,0,0,0,0,0,0
(주)ES큐브,50120,0,0,0,0,1,0,0,0,0
(주)HJ중공업,97230,0,0,0,0,0,0,0,0,0
(주)MH에탄올,23150,0,0,0,0,0,0,0,0,0
(주)SH에너지화학,2360,0,0,0,1,0,0,0,0,0
(주)SIMPAC,9160,0,0,0,0,0,0,0,1,0
(주)SNT에너지,100840,0,0,0,0,0,0,0,0,0
(주)SNT홀딩스,36530,0,0,0,0,0,0,0,1,0
(주)STX,11810,0,0,0,0,0,0,0,0,0
(주)TCC스틸,2710,0,0,0,0,0,0,0,0,0
(주)가비아,79940,0,0,0,0,0,0,0,0,0
(주)강스템바이오텍,217730,0,0,0,0,0,1,0,0,0
(주)강원랜드,35250,0,0,0,0,0,0,0,1,0
(주)강원에너지,114190,0,0,0,1,0,0,0,0,0
(주)갤럭시아에스엠,11420,0,0,1,1,1,0,0,0,0
(주)경농,2100,0,0,0,0,0,0,0,0,0
(주)경동나비엔,9450,0,0,0,0,0,0,0,0,0
(주)경동도시가스,267290,0,0,0,0,0,0,0,0,0
(주)경동인베스트,12320,0,0,0,0,0,0,0,0,0
(주)경방,50,0,0,0,0,0,0,0,0,0
(주)경보제약,214390,0,0,0,0,0,0,0,0,0
(주)경인양행,12610,0,0,0,0,0,0,0,0,0
(주)고려시멘트,198440,0,0,0,0,0,0,0,0,0
(주)고영테크놀러지,98460,0,0,0,1,0,0,0,0,0
(주)골드앤에스,35290,0,0,0,0,0,0,0,1,0
(주)골드퍼시픽,38530,0,0,0,0,1,1,0,0,1
(주)골프존,215000,0,0,0,0,0,0,0,1,0
(주)골프존뉴딘홀딩스,121440,0,1,0,0,0,0,0,0,0
(주)광림,14200,0,0,0,0,0,0,0,0,0
(주)광명전기,17040,0,0,0,0,0,0,0,0,0
(주)광무,29480,0,0,0,1,0,0,0,0,0
(주)광주신세계,37710,0,0,1,0,0,0,0,0,0
(주)구영테크,53270,0,0,1,0,0,0,0,0,0
(주)국동,5320,0,0,0,0,0,0,0,0,0
(주)국보,1140,0,0,0,0,0,0,0,0,0
(주)국보디자인,66620,0,0,0,0,0,0,0,0,0
(주)국순당,43650,0,0,0,0,0,0,0,0,0
(주)국영지앤엠,6050,0,0,0,0,0,0,0,0,0
(주)국전약품,307750,0,0,0,0,0,0,0,0,0
(주)그래디언트,35080,0,0,1,1,0,0,0,0,1
(주)그리티,204020,0,0,0,0,0,0,0,0,0
(주)그린플러스,186230,0,0,0,0,0,0,0,0,0
(주)글로벌스탠다드테크놀로지,83450,0,0,0,0,0,0,1,0,0
(주)금비,8870,0,0,0,0,0,0,0,0,0
(주)금양,1570,0,0,0,0,0,0,0,0,0
(주)금호에이치티,214330,0,0,0,0,0,0,0,0,0
(주)금화피에스시,36190,0,0,0,0,0,0,0,1,0
(주)기가레인,49080,0,0,0,1,0,0,0,0,0
(주)기산텔레콤,35460,0,0,0,0,0,0,0,0,0
(주)까뮤이앤씨,13700,0,0,0,1,1,0,0,0,0
(주)까스텔바작,308100,0,0,0,0,0,0,0,0,0
(주)나노,187790,0,0,0,0,0,0,0,0,0
(주)나노브릭,286750,0,0,0,0,0,0,0,0,0
(주)나노신소재,121600,0,0,0,0,0,0,0,0,0
(주)나노엔텍,39860,0,0,0,0,0,1,0,0,0
(주)나무가,190510,0,0,0,0,0,0,0,0,1
(주)나스미디어,89600,0,0,0,0,0,1,0,0,0
(주)나이벡,138610,0,0,1,0,0,0,0,0,1
(주)나이스디앤비,130580,0,0,0,0,0,1,1,1,0
(주)나이스홀딩스,34310,0,0,0,0,0,0,0,0,1
(주)나인테크,267320,0,0,0,0,0,0,0,0,0
(주)남선알미늄,8350,0,0,0,0,0,0,0,0,0
(주)남성,4270,0,0,0,0,0,0,0,0,0
(주)내츄럴엔도텍,168330,0,0,0,1,0,0,0,0,0
(주)네오리진,94860,0,1,0,0,0,0,0,0,0
(주)네오셈,253590,0,0,0,0,0,0,0,0,1
(주)네오오토,212560,0,0,0,0,0,0,0,0,0
(주)네오위즈,95660,0,0,0,0,0,0,0,0,1
(주)네오위즈홀딩스,42420,0,1,0,0,1,0,0,1,1
(주)네오크레마,311390,0,0,0,0,0,0,0,0,0
(주)네오티스,85910,0,0,0,0,0,0,0,0,0
(주)네오팜,92730,0,0,0,0,0,0,0,0,0
(주)네오펙트,290660,0,0,0,0,0,0,0,0,1
(주)네온테크,306620,0,0,0,0,0,0,0,0,0
(주)네이블커뮤니케이션즈,153460,0,1,0,0,0,0,0,0,0
(주)네이처셀,7390,0,0,0,1,0,0,1,0,1
(주)네패스,33640,0,1,0,0,0,0,0,0,0
(주)넥센,5720,0,0,0,0,0,0,0,0,0
(주)넥스턴바이오사이언스,89140,0,0,0,0,0,0,0,0,0
(주)넥스트아이,137940,0,0,0,0,0,1,0,0,0
(주)넥스트엔터테인먼트월드,160550,0,0,0,0,1,1,1,0,0
(주)넥슨게임즈,225570,0,0,0,0,0,0,0,1,0
(주)넵튠,217270,0,0,0,0,0,1,1,0,0
(주)노랑풍선,104620,0,0,0,0,0,0,0,0,0
(주)노루페인트,90350,0,0,0,0,0,0,0,0,0
(주)노루홀딩스,320,0,0,0,0,0,0,1,0,0
(주)노바렉스,194700,0,0,0,0,0,0,0,0,0
(주)노바텍,285490,0,0,0,0,0,0,0,0,1
(주)노블엠앤비,106520,0,1,1,0,0,1,0,0,0
(주)노터스,278650,0,0,0,0,0,0,0,0,0
(주)녹십자,6280,0,0,0,0,0,0,0,0,0
(주)녹십자엠에스,142280,0,0,0,0,0,0,0,0,0
(주)녹십자웰빙,234690,0,0,0,0,0,0,0,0,0
(주)녹십자홀딩스,5250,0,0,0,0,1,0,0,0,0
(주)녹원씨엔아이,65560,0,0,0,0,0,0,0,1,0
(주)농심,4370,0,0,0,0,0,0,0,0,0
(주)농심홀딩스,72710,0,0,0,0,0,0,0,0,0
(주)누리플랜,69140,0,0,0,0,0,0,0,0,0
(주)누리플렉스,40160,0,0,0,0,0,1,0,0,0
(주)누보,332290,0,0,0,0,0,0,0,0,0
(주)뉴로스,126870,0,1,0,0,0,0,0,0,0
(주)뉴보텍,60260,0,0,0,0,0,0,0,0,1
(주)뉴인텍,12340,0,0,0,0,0,0,0,0,0
(주)뉴트리,270870,0,0,0,0,0,0,0,0,0
(주)뉴파워프라즈마,144960,0,0,0,0,0,0,0,0,0
(주)뉴프렉스,85670,0,0,0,0,0,0,0,0,0
(주)다나와,119860,0,0,0,0,0,0,0,0,0
(주)다날,64260,0,0,0,0,1,0,0,0,0
(주)다보링크,340360,0,0,0,0,0,0,0,0,0
(주)다산네트웍스,39560,0,0,0,0,0,0,0,0,0
(주)다우기술,23590,0,0,0,0,0,0,0,0,0
(주)다우데이타,32190,0,0,1,0,0,0,0,0,0
(주)다원시스,68240,0,0,0,0,1,0,1,1,1
(주)다이나믹디자인,145210,0,0,0,0,0,0,1,0,0
(주)대교,19680,0,0,0,0,0,0,0,0,0
(주)대구백화점,6370,0,0,0,0,0,0,0,0,0
(주)대덕,8060,0,0,0,1,0,0,0,1,0
(주)대동,490,0,0,0,0,0,0,0,0,0
(주)대동스틸,48470,0,0,0,0,0,0,0,0,0
(주)대륙제관,4780,0,0,0,0,0,0,0,0,0
(주)대림제지,17650,0,0,0,0,0,0,1,0,0
(주)대명소노시즌,7720,0,0,0,0,1,0,0,0,0
(주)대성미생물연구소,36480,0,0,0,0,0,0,0,0,0
(주)대성엘텍,25440,0,0,0,0,0,0,0,0,0
(주)대성파인텍,104040,0,0,0,1,0,0,0,0,0
(주)대양금속,9190,0,0,0,0,0,0,0,0,0
(주)대우건설,47040,0,0,1,0,0,0,0,0,0
(주)대웅,3090,0,0,0,0,0,0,0,0,0
(주)대웅제약,69620,0,0,0,0,0,0,0,0,0
(주)대원,7680,0,0,0,0,0,0,0,0,0
(주)대유,290380,0,0,0,0,0,0,0,0,0
(주)대유에이텍,2880,0,0,0,0,0,0,0,0,0
(주)대유에이피,290120,0,0,0,0,0,0,0,0,0
(주)대유플러스,300,0,0,0,0,0,0,0,1,0
(주)대창,12800,0,0,0,1,0,0,0,0,0
(주)대창솔루션,96350,0,0,0,0,0,0,0,0,0
(주)대창스틸,140520,0,0,0,0,1,0,0,0,0
(주)대한과학,131220,0,0,0,0,0,0,0,0,0
(주)대한항공,3490,0,0,0,0,0,0,0,0,0
(주)대현,16090,0,0,0,0,0,0,0,0,0
(주)대호에이엘,69460,0,0,0,0,0,0,0,0,0
(주)대호특수강,21040,0,1,0,0,0,0,0,0,0
(주)더 미동,161570,0,0,0,1,0,0,0,0,0
(주)더블유게임즈,192080,0,0,0,0,0,0,0,0,0
(주)더블유아이,73570,0,1,0,1,0,0,0,0,1
(주)더블유에스아이,299170,0,0,0,0,0,0,0,0,0
(주)더존비즈온,12510,0,0,0,1,0,0,0,0,0
(주)덕산테코피아,317330,0,0,0,0,0,0,0,0,0
(주)덕성,4830,0,0,0,0,0,0,0,0,0
(주)덕신하우징,90410,0,0,0,0,1,0,0,0,0
(주)데이타솔루션,263800,0,0,0,0,0,0,0,0,0
(주)덱스터스튜디오,206560,0,0,0,0,0,1,0,0,0
(주)덴티스,261200,0,0,0,0,0,0,0,0,0
(주)덴티움,145720,0,0,0,0,0,0,0,0,1
(주)도화엔지니어링,2150,0,0,0,0,0,0,0,0,0
(주)동구바이오제약,6620,0,0,0,0,0,0,0,0,0
(주)동국알앤에스,75970,0,0,0,0,0,0,0,0,0
(주)동국에스엔씨,100130,0,0,1,0,0,0,0,0,0
(주)동남합성,23450,0,0,0,0,0,1,0,0,0
(주)동방,4140,0,0,0,0,0,0,0,0,0
(주)동방선기,99410,0,0,0,0,0,0,0,0,0
(주)동방아그로,7590,0,0,0,0,0,0,0,0,0
(주)동서,26960,0,0,0,0,0,0,0,0,0
(주)동성케미컬,102260,0,0,1,0,1,0,1,0,0
(주)동성화인텍,33500,0,0,1,0,0,0,0,0,1
(주)동아엘텍,88130,0,0,0,0,0,0,0,0,0
(주)동아지질,28100,0,0,0,0,0,0,0,0,0
(주)동양,1520,0,0,0,0,0,0,0,0,0
(주)동양고속,84670,0,0,0,0,0,0,0,0,0
(주)동양에스텍,60380,0,0,0,0,0,0,0,0,0
(주)동우팜투테이블,88910,0,0,0,1,0,0,0,0,0
(주)동운아나텍,94170,0,0,0,0,0,0,0,0,0
(주)동원개발,13120,0,0,0,0,1,0,1,0,0
(주)동원에프앤비,49770,0,0,0,1,0,0,1,0,0
(주)동일기연,32960,0,0,0,0,0,0,0,0,0
(주)동진쎄미켐,5290,0,0,0,0,0,0,0,0,0
(주)두산,150,0,0,1,0,0,0,0,0,0
(주)두산테스나,131970,0,0,0,0,0,0,0,0,0
(주)두올,16740,0,0,0,0,0,0,0,0,0
(주)듀오백,73190,0,0,0,0,0,1,0,0,0
(주)드래곤플라이,30350,0,0,0,0,0,1,0,0,0
(주)드림시큐리티,203650,0,0,0,0,0,0,0,0,0
(주)드림어스컴퍼니,60570,0,0,0,0,1,0,0,0,1
(주)드림텍,192650,0,0,0,0,0,0,0,0,0
(주)디딤,217620,0,0,0,0,0,0,1,0,1
(주)디모아,16670,0,1,1,0,0,0,0,0,0
(주)디바이스이엔지,187870,0,0,0,0,0,0,0,0,0
(주)디비아이엔씨,12030,0,0,0,0,0,0,0,0,0
(주)디스플레이테크,66670,0,0,1,0,0,0,0,0,0
(주)디아이,3160,0,0,0,0,1,0,0,1,0
(주)디아이씨,92200,0,0,0,0,0,0,0,0,0
(주)디아크,78590,0,0,0,0,0,0,0,0,0
(주)디알비동일,4840,0,0,0,0,0,0,0,0,0
(주)디알젬,263690,0,0,0,0,0,0,0,0,0
(주)디알텍,214680,0,0,0,0,0,1,1,0,0
(주)디앤씨미디어,263720,0,0,0,0,0,0,0,0,0
(주)디에스앤엘,141020,0,0,0,0,0,0,0,0,0
(주)디에스케이,109740,0,0,0,0,0,0,1,0,0
(주)디에이테크놀로지,196490,0,0,0,0,1,0,0,1,0
(주)디에이피,66900,0,0,0,0,0,0,0,0,0
(주)디엔에이링크,127120,0,0,1,0,0,0,0,0,0
(주)디엔에프,92070,0,0,0,0,0,0,0,0,0
(주)디엔오토모티브,7340,0,0,0,0,0,0,0,0,0
(주)디엠에스,68790,0,0,0,0,0,0,0,0,0
(주)디오,39840,0,0,0,0,0,1,1,0,0
(주)디와이디,219550,0,0,0,0,0,0,1,0,0
(주)디이엔티,79810,0,0,0,0,1,1,1,0,0
(주)디지아이,43360,0,0,0,0,0,0,0,0,0
(주)디지캡,197140,0,0,0,0,0,0,0,0,0
(주)디지털대성,68930,0,0,0,0,0,0,0,0,0
(주)디지틀조선일보,33130,0,0,0,0,0,0,0,0,0
(주)디케이앤디,263020,0,0,0,0,0,0,0,0,0
(주)디케이티,290550,0,0,0,0,0,0,0,0,0
(주)디티앤씨,187220,0,0,0,0,0,1,0,0,0
(주)딜리,131180,0,0,0,0,0,0,0,0,0
(주)라닉스,317120,0,0,0,0,0,0,0,0,0
(주)라온테크,232680,0,0,0,0,0,1,0,0,0
(주)라이온켐텍,171120,0,0,0,0,0,0,0,0,0
(주)라이트론,69540,0,0,0,0,0,1,0,0,0
(주)라파스,214260,0,0,0,0,0,0,0,0,0
(주)락앤락,115390,0,0,0,0,0,0,0,1,1
(주)랩지노믹스,84650,0,0,0,0,0,0,0,0,0
(주)러셀,217500,0,0,0,0,0,0,0,1,0
(주)레고켐바이오사이언스,141080,0,0,0,0,1,0,0,0,0
(주)레드로버,60300,0,0,1,0,0,1,0,0,0
(주)레드캡투어,38390,0,0,0,0,0,0,0,0,0
(주)레이,228670,0,0,0,0,0,0,0,0,0
(주)레이언스,228850,0,0,0,0,0,0,0,0,0
(주)레이크머티리얼즈,281740,0,0,0,0,0,0,0,0,0
(주)로보로보,215100,0,0,0,0,0,0,1,0,0
(주)로보스타,90360,0,0,0,0,0,0,0,0,0
(주)로보티즈,108490,0,0,0,0,0,0,0,0,0
(주)로지시스,67730,0,0,0,0,0,0,0,0,0
(주)루멘스,38060,0,0,0,0,0,0,0,0,0
(주)루트로닉,85370,0,0,0,0,0,0,0,0,0
(주)룽투코리아,60240,0,0,0,0,0,1,0,0,0
(주)리노스,39980,0,0,0,1,0,0,0,0,0
(주)리더스코스메틱,16100,0,1,1,1,0,0,0,1,0
(주)리드,197210,0,0,0,0,0,1,0,1,0
(주)리드코프,12700,0,0,0,0,0,0,0,0,0
(주)리메드,302550,0,0,0,0,0,0,0,0,0
(주)링네트,42500,0,0,0,0,0,0,0,0,0
(주)링크제니시스,219420,0,0,0,0,0,0,0,0,0
(주)마니커,27740,0,1,0,0,0,0,0,0,0
(주)마니커에프앤지,195500,0,0,0,0,0,0,0,0,0
(주)마이크로디지탈,305090,0,0,0,0,0,0,0,0,0
(주)마이크로컨텍솔루션,98120,0,0,0,0,1,0,0,0,0
(주)마이크로프랜드,147760,0,0,0,0,0,0,0,0,0
(주)마크로젠,38290,0,0,0,0,0,0,0,0,0
(주)만도,204320,0,0,0,0,0,0,0,0,0
(주)매직마이크로,127160,0,0,0,0,0,0,0,1,0
(주)매커스,93520,0,0,0,0,0,0,0,0,0
(주)머큐리,100590,0,0,0,0,0,0,0,0,0
(주)멀티캠퍼스,67280,0,1,1,1,1,0,0,0,0
(주)메드팩토,235980,0,0,0,0,0,0,0,0,0
(주)메디아나,41920,0,0,0,0,0,1,0,0,0
(주)메디콕스,54180,0,0,0,0,0,0,1,1,0
(주)메디톡스,86900,0,0,0,1,1,1,1,0,0
(주)메디프론디비티,65650,0,0,0,0,0,0,0,0,0
(주)메지온,140410,0,1,0,1,1,0,1,0,1
(주)메카로,241770,0,0,0,0,0,0,0,0,0
(주)메타랩스,90370,0,0,0,0,0,0,0,0,1
(주)메타바이오메드,59210,0,0,0,0,0,0,0,0,0
(주)멕아이씨에스,58110,0,0,0,0,0,0,0,0,0
(주)멜파스,96640,0,0,0,0,0,0,0,0,0
(주)모나리자,12690,0,0,0,0,0,0,0,0,0
(주)모나미,5360,0,0,0,0,0,0,0,0,0
(주)모다이노칩,80420,0,1,0,0,0,1,0,0,0
(주)모두투어네트워크,80160,0,0,0,0,0,0,0,0,0
(주)모바일리더,100030,0,0,0,0,0,0,0,0,0
(주)모베이스,101330,0,0,0,0,1,0,1,0,0
(주)모베이스전자,12860,0,0,0,0,0,0,0,0,0
(주)모비스,250060,0,0,0,0,0,0,1,0,0
(주)모아텍,33200,0,0,0,0,0,0,0,0,0
(주)모토닉,9680,0,0,0,1,0,0,0,0,0
(주)모헨즈,6920,0,0,0,0,0,0,0,0,0
(주)무학,33920,0,0,0,1,0,1,0,0,0
(주)미래생명자원,218150,0,0,0,0,0,0,1,0,0
(주)미래아이앤지,7120,0,1,0,0,0,0,0,0,0
(주)미래컴퍼니,49950,0,1,0,0,0,0,0,0,0
(주)미코,59090,0,0,0,0,0,0,1,0,0
(주)미투온,201490,0,0,0,0,0,0,0,0,0
(주)바른손,18700,0,0,0,0,0,0,0,1,1
(주)바른손이앤에이,35620,0,0,0,1,0,0,0,0,1
(주)바른전자,64520,0,0,0,0,1,0,0,0,0
(주)바이넥스,53030,0,0,0,0,0,0,0,0,0
(주)바이오니아,64550,0,0,0,0,0,1,0,0,0
(주)바이오로그디바이스,208710,0,0,0,0,1,0,0,0,0
(주)바이오솔루션,86820,0,0,0,0,0,0,0,0,0
(주)바이오스마트,38460,0,0,0,0,0,0,0,0,0
(주)바이오톡스텍,86040,0,0,0,0,0,0,0,0,0
(주)바텍,43150,0,1,1,0,0,0,0,1,0
(주)방림,3610,0,0,0,0,0,0,0,0,0
(주)배럴,267790,0,0,0,0,0,0,0,0,0
(주)백금티앤에이,46310,0,0,0,0,0,0,0,1,0
(주)백산,35150,0,0,0,0,0,0,0,0,0
(주)버킷스튜디오,66410,0,0,0,0,0,0,0,0,0
(주)베노홀딩스,206400,0,0,0,0,0,1,1,0,0
(주)베셀,177350,0,0,0,0,0,0,1,0,0
(주)베스파,299910,0,0,0,0,0,0,0,0,1
(주)벽산,7210,0,0,0,0,0,0,0,0,0
(주)보광산업,225530,0,0,0,0,0,0,0,1,0
(주)보라티알,250000,0,0,0,0,0,0,0,0,0
(주)보락,2760,0,0,0,0,0,0,0,0,0
(주)보령,3850,0,0,0,0,0,0,0,0,0
(주)본느,226340,0,0,0,0,0,0,0,1,1
(주)부-스타,8470,0,0,0,0,0,0,0,1,0
(주)부방,14470,0,0,1,0,0,0,0,0,0
(주)뷰웍스,100120,0,1,0,1,0,0,0,0,0
(주)브리지텍,64480,0,0,0,0,0,0,0,0,0
(주)브이원텍,251630,0,0,0,0,0,0,0,0,0
(주)브이티지엠피,18290,0,0,0,0,0,0,0,0,1
(주)블루베리엔에프티,44480,0,0,0,0,0,0,0,0,0
(주)블루콤,33560,0,0,0,1,1,1,0,0,0
(주)비덴트,121800,0,1,1,0,0,0,0,0,0
(주)비보존헬스케어,82800,0,0,1,0,0,0,0,0,0
(주)비비안,2070,0,0,0,0,0,0,0,0,0
(주)비상교육,100220,0,0,0,0,0,0,0,0,0
(주)비씨월드제약,200780,0,0,0,0,1,0,0,0,0
(주)비아트론,141000,0,1,0,0,0,0,0,0,0
(주)비에이치,90460,0,1,1,0,0,1,1,0,0
(주)비엔지티,32790,0,0,0,0,0,1,0,0,0
(주)비엘,142760,0,0,0,0,0,0,0,0,0
(주)비엘팜텍,65170,0,1,1,0,1,0,0,0,0
(주)비엠티,86670,0,0,1,0,0,0,0,0,0
(주)비올,335890,0,0,0,0,0,0,0,0,0
(주)비와이씨,1460,0,0,1,0,0,0,0,0,0
(주)비즈니스온커뮤니케이션,138580,0,0,0,0,0,0,0,0,0
(주)비지에프,27410,0,0,0,0,0,0,0,0,0
(주)비지에프리테일,282330,0,0,0,0,0,0,0,0,0
(주)비츠로셀,82920,0,0,0,0,0,0,0,0,0
(주)비츠로시스,54220,0,0,0,0,0,0,0,0,0
(주)비츠로테크,42370,0,0,0,1,0,0,1,0,0
(주)비케이홀딩스,50090,0,0,0,0,0,0,0,0,0
(주)비투엔,307870,0,0,0,0,0,0,0,0,0
(주)비트컴퓨터,32850,0,0,0,0,0,0,0,0,0
(주)비피도,238200,0,0,0,0,0,0,0,0,0
(주)빅솔론,93190,0,0,0,0,0,0,0,0,0
(주)빅텍,65450,0,0,0,0,0,0,0,0,0
(주)빙그레,5180,0,0,0,0,0,0,0,0,0
(주)사람인에이치알,143240,0,1,0,0,0,0,0,0,0
(주)사조대림,3960,0,0,0,0,0,0,0,0,1
(주)사조오양,6090,0,0,0,0,1,1,0,0,0
(주)삼기,122350,0,1,0,1,0,0,0,0,0
(주)삼보판지,23600,0,0,0,0,0,0,0,0,0
(주)삼성출판사,68290,0,0,0,0,0,0,1,1,0
(주)삼양사,145990,0,0,0,0,0,1,0,0,0
(주)삼양옵틱스,225190,0,0,0,0,0,0,0,0,0
(주)삼양패키징,272550,0,0,0,0,0,0,0,0,0
(주)삼양홀딩스,70,0,0,0,0,0,0,0,0,0
(주)삼에스코리아,60310,0,0,1,0,0,0,0,0,0
(주)삼원강재,23000,0,0,0,0,0,0,0,0,0
(주)삼익악기,2450,0,0,0,0,1,0,0,0,0
(주)삼일,32280,0,0,0,0,0,0,0,0,0
(주)삼일기업공사,2290,0,0,0,0,0,0,1,0,0
(주)삼일씨엔에스,4440,0,0,0,0,0,0,0,0,0
(주)삼진,32750,0,0,0,0,0,0,0,0,0
(주)삼진엘앤디,54090,0,0,0,0,0,1,0,0,0
(주)삼천리,4690,0,0,0,0,0,0,0,0,0
(주)삼표시멘트,38500,0,0,0,0,0,0,0,0,0
(주)삼화네트웍스,46390,0,0,1,0,0,0,0,0,0
(주)상보,27580,0,0,1,0,0,0,0,0,0
(주)상상인,38540,0,0,0,0,0,0,0,0,0
(주)상상인인더스트리,101000,0,0,1,1,0,0,0,0,0
(주)상아프론테크,89980,0,0,0,0,0,1,0,0,0
(주)상지카일룸,42940,0,0,0,0,0,0,1,0,0
(주)새로닉스,42600,0,0,0,0,1,0,0,1,0
(주)서린바이오사이언스,38070,0,0,0,0,0,0,0,0,0
(주)서부티엔디,6730,0,0,0,0,0,0,1,0,0
(주)서산,79650,0,0,0,0,0,0,0,0,0
(주)서연,7860,0,0,0,0,1,0,0,1,0
(주)서연이화,200880,0,0,0,0,0,0,0,0,0
(주)서연탑메탈,19770,0,0,0,0,0,0,0,0,0
(주)서울리거,43710,0,1,1,0,0,1,0,0,0
(주)서울옥션,63170,0,0,0,1,1,0,1,1,0
(주)서울제약,18680,0,0,0,0,0,0,0,0,0
(주)서원,21050,0,0,0,0,0,0,0,0,0
(주)서원인텍,93920,0,0,0,0,0,0,0,0,0
(주)서전기전,189860,0,0,0,0,0,0,0,1,1
(주)서진시스템,178320,0,0,0,0,0,0,0,0,1
(주)서진오토모티브,122690,0,1,0,0,0,0,0,0,0
(주)서플러스글로벌,140070,0,0,0,0,0,0,0,0,0
(주)서한,11370,0,0,0,1,0,0,0,1,0
(주)서흥,8490,0,1,0,0,0,0,0,0,0
(주)서희건설,35890,0,0,0,0,0,0,0,0,0
(주)선광,3100,0,0,0,0,0,0,0,0,0
(주)선앤엘,2820,0,0,0,0,0,0,0,0,0
(주)선익시스템,171090,0,0,0,0,0,0,0,0,0
(주)선진,136490,0,0,0,0,0,0,0,0,0
(주)성광벤드,14620,0,0,0,0,0,0,0,0,0
(주)성도이엔지,37350,0,0,0,0,0,0,0,0,0
(주)성안,11300,0,0,0,0,0,0,0,0,0
(주)성우하이텍,15750,0,0,0,0,0,0,0,0,0
(주)성창오토텍,80470,0,1,1,0,0,0,0,0,0
(주)세경하이테크,148150,0,0,0,0,0,0,0,0,0
(주)세동,53060,0,0,0,0,0,0,0,0,0
(주)세림비앤지,340440,0,0,0,0,0,0,0,0,0
(주)세보엠이씨,11560,0,0,0,0,0,0,0,0,0
(주)세아베스틸지주,1430,0,0,0,0,0,0,0,0,0
(주)세아제강,306200,0,0,0,0,0,0,0,0,0
(주)세아제강지주,3030,0,0,0,0,0,0,0,0,1
(주)세아특수강,19440,0,0,0,0,0,0,0,0,0
(주)세아홀딩스,58650,0,0,1,0,0,0,0,1,0
(주)세우글로벌,13000,0,0,0,0,0,0,0,0,0
(주)세운메디칼,100700,0,0,0,0,0,0,0,0,0
(주)세원물산,24830,0,0,0,0,0,0,0,0,0
(주)세원정공,21820,0,0,0,0,0,0,0,0,0
